cell_id,ue_local_id,ue_id,avg_thr_mbps,avg_mcs_tx_only,avg_mcs_all_tti0,scheduled_tti_count,no_tx_tti_count,scheduled_ratio,avg_wb_sinr_db,avg_sched_wb_sinr_db,avg_predicted_bler,tb_err_count,tb_bler,tx_success_rate,tx_drop_rate,tx_total_pkts,tx_success_pkts,queue_delay_est_ms,generated_bytes,mac_buffer_bytes,mcs_samples
2,3,20,0.269800,0.642586,0.422500,263,137,0.657500,-5.304367,-5.175518,0.074246,20,0.076046,0.923954,0.076046,263,243,89821.463075,3245000,3029232,263
2,4,21,0.193669,0.031447,0.012500,159,241,0.397500,-9.240259,-9.056872,0.059160,9,0.056604,0.943396,0.056604,159,150,114407.727224,3000000,2769656,159
2,5,22,0.099395,0.000000,0.000000,82,318,0.205000,-11.213286,-11.224664,0.030095,1,0.012195,0.987805,0.012195,82,81,245942.847872,3360000,3055672,82
2,6,23,0.245136,0.676056,0.360000,213,187,0.532500,-6.135415,-6.079749,0.076885,17,0.079812,0.920188,0.079812,213,196,92783.422027,3000000,2843064,213
2,7,24,0.365614,1.360000,0.765000,225,175,0.562500,-4.474649,-4.453445,0.087952,18,0.080000,0.920000,0.080000,225,207,62638.964311,3090000,2862712,225
2,8,35,0.274793,0.224265,0.152500,272,128,0.680000,-2.954527,-2.957472,0.091413,25,0.091912,0.908088,0.091912,272,247,82276.927423,2995000,2826144,272
2,9,51,0.284824,0.241007,0.167500,278,122,0.695000,-2.710282,-2.690789,0.083035,25,0.089928,0.910072,0.089928,278,253,89205.956002,3230000,3176000,278
3,0,0,0.285888,0.002976,0.002500,336,64,0.840000,-4.711954,-4.744291,0.097331,31,0.092262,0.907738,0.092262,336,305,82428.744402,3265000,2945672,336
3,1,25,0.309566,0.089457,0.070000,313,87,0.782500,-10.250007,-10.226469,0.078647,22,0.070288,0.929712,0.070288,313,291,63095.631844,3080000,2441536,313
3,2,26,0.195055,0.228022,0.207500,364,36,0.910000,9.109592,9.235477,0.176557,60,0.164835,0.835165,0.164835,364,304,115047.357582,3225000,2805064,364
3,3,27,0.191535,0.084337,0.052500,249,151,0.622500,-8.917097,-8.872198,0.066844,17,0.068273,0.931727,0.068273,249,232,126168.919220,3125000,3020720,249
3,4,31,0.722878,1.833333,1.375000,300,100,0.750000,3.750229,3.721110,0.103053,28,0.093333,0.906667,0.093333,300,272,33753.952191,3050000,3050000,300
3,5,40,0.231821,0.003559,0.002500,281,119,0.702500,-5.220343,-5.248125,0.104013,28,0.099644,0.900356,0.099644,281,253,97915.697591,3215000,2837368,281
3,6,53,0.752175,1.486647,1.252500,337,63,0.842500,6.500478,6.742222,0.102657,32,0.094955,0.905045,0.094955,337,305,30756.329415,3155000,2891768,337
4,0,5,0.233802,0.296443,0.187500,253,147,0.632500,-4.405433,-4.431826,0.079773,26,0.102767,0.897233,0.102767,253,227,104705.973415,3205000,3060056,253
4,1,16,0.351495,1.293617,0.760000,235,165,0.587500,-0.017130,0.005514,0.101226,24,0.102128,0.897872,0.102128,235,211,67842.087655,3070000,2980768,235
